year,2011,2012,2013,2014,2015,2016
INFOSYS,67101,67620.8,66747,63918,67808,69971
TCS,58490,59363,60798,61318,61984,63461
WIPRO,68682,65770,66685,68078,68245,69867
IBM,65042,65270,69618,69056,70179,69908.5
ACCENTURE,68848,67101,68099,71323,71386,74006
